id,nation,name,type,type,uclass,uclass,start_yr,start_mo,end_yr,end_mo,size,crew,survive,cost,speed,mclass,radio,irvis,fc,rf,stab,rof,load_cap,load_cost,swim,smkdev,wpn1,wpn1_HEammo,wpn1_APammo,wpn1_HEATammo,wpn1_APCRammo,wpn2,wpn2_HEammo,wpn2_APammo,wpn3,wpn3_HEammo,wpn3_APammo,wpn4,wpn4_HEammo,wpn4_APammo,arm_FH,arm_SH,arm_RH,arm_FT,arm_ST,arm_RT,arm_TP,arm_SK,slp_FH,slp_SH,slp_RH,slp_FT,slp_ST,slp_RT
7,9,Cpt 95 Ha-Go,22,light tank,2,armor,1937,1,1945,0,3,3,3,34,28,0,12,0,4,2,0,6,6,226,0,0,13,60,19,0,0,0,0,0,0,0,0,209,60,0,12,12,8,12,12,12,6,50,48,15,10,15,18,15
13,9,Command Car,108,utility vehicle,14,other,1942,8,1949,0,2,1,1,6,45,0,20,0,0,0,0,9,6,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9,1-1/2ton Truck,85,medium truck,10,transport,1930,1,1949,0,4,2,4,13,31,0,12,0,0,0,0,9,112,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,9,2-1/2ton Truck,85,medium truck,10,transport,1930,1,1949,0,4,2,4,18,23,0,12,0,0,0,0,9,218,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9,37mm AT Gun,55,AT gun,5,anti-tank,1943,11,1946,0,1,4,0,22,4,0,20,0,2,2,0,8,0,104,0,0,16,20,40,0,0,110,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,9,75mm Inf Gun,46,infantry gun,4,artillery,1930,1,1949,0,1,8,0,10,4,0,90,0,2,1,0,4,0,108,0,0,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9,Hvy AAMG,61,flak,6,anti-air,1939,1,1949,0,1,4,0,15,4,0,0,0,2,2,0,9,0,104,0,0,141,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9,75mm Howitzer,47,howitzer,4,artillery,1938,1,1949,0,1,6,0,29,1,0,91,0,2,1,0,6,0,106,0,0,33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,9,75mm FH Btry,49,offboard artillery,4,artillery,1930,1,1945,0,1,32,0,71,0,0,93,0,2,0,0,8,0,255,0,0,227,40,0,0,0,227,40,0,227,40,0,227,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,9,Chinese HMG,10,heavy machine gun,0,infantry,1947,1,1949,0,0,4,0,24,6,0,12,0,3,2,0,9,0,0,0,0,122,60,0,0,0,87,4,0,249,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,9,Chinese HMG,10,heavy machine gun,0,infantry,1930,1,1946,0,0,4,0,24,6,0,12,0,3,2,0,9,0,0,0,0,122,60,0,0,0,87,4,0,159,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9,Chinese MG,9,machine gun,0,infantry,1943,1,1949,0,0,4,0,17,8,0,10,0,2,2,0,9,0,0,0,0,120,60,0,0,0,87,4,0,179,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,9,Chinese MG ,9,machine gun,0,infantry,1947,1,1949,0,0,4,0,20,8,0,10,0,2,2,0,9,0,0,0,0,123,60,0,0,0,87,4,0,249,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9,ATR Team,54,AT infantry,5,anti-tank,1939,1,1948,0,0,2,0,17,8,0,0,0,0,0,0,9,0,0,0,0,228,0,40,0,0,202,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,9,Warlord Rifles,19,second line infantry,0,infantry,1930,1,1931,0,1,14,0,19,10,0,0,0,0,0,0,9,0,0,0,0,213,40,0,0,0,87,7,0,113,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9,Warlord Rifles,19,second line infantry,0,infantry,1930,1,1931,0,1,14,0,17,10,0,0,0,0,0,0,9,0,0,0,0,178,40,0,0,0,87,7,0,113,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,9,Warlord Rifles,19,second line infantry,0,infantry,1930,1,1931,0,1,14,0,17,10,0,0,0,0,0,0,9,0,0,0,0,178,40,0,0,0,87,7,0,113,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9,Chinese Sniper,15,sniper,0,infantry,1930,1,1949,0,0,1,0,20,12,0,10,0,4,3,0,4,0,0,0,0,146,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,ATR Team ,54,AT infantry,5,anti-tank,1935,1,1944,0,0,2,0,15,9,0,10,0,0,0,0,9,0,0,0,0,88,0,40,0,0,160,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,9,Bunker,105,fort,13,fortification,1930,1,1945,0,2,10,3,67,0,0,50,0,0,5,0,9,0,255,0,0,178,50,0,0,0,122,120,0,122,90,0,0,0,0,60,60,60,20,120,120,180,70,0,0,0,0,0,0
35,9,Bunker,105,fort,13,fortification,1944,1,1949,0,2,10,4,130,0,0,50,0,4,5,0,9,0,255,0,0,21,70,50,0,0,208,120,0,122,90,0,0,0,0,60,60,60,20,120,120,180,70,0,0,0,0,0,0
36,9,RPG Team,54,AT infantry,5,anti-tank,1949,1,1949,0,0,2,0,16,9,0,11,0,0,0,0,9,0,0,0,0,6,0,10,0,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,9,ATR Team,54,AT infantry,5,anti-tank,1949,1,1949,0,0,2,0,13,9,0,0,0,0,0,0,9,0,0,0,0,10,0,32,0,8,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
